IdJuego,IdSaga,Titulo,Precio,FechaLanzamiento,Descripcion,URLimagen,Clasificacion,Puntuacion
1,1,Fortnite,0.0,2017-07-25,¡Bienvenido a Fortnite un juego en constante evolución de acción y construcción de Fortnite!,https://example.com/fortnite.jpg,E,4.2
2,2,Gears of War 2,29.99,2008-11-07,Gears of War 2 es un videojuego de disparos en tercera persona desarrollado por Epic Games.,https://example.com/gearsofwar2.jpg,M,4.5
3,2,Gears of War 3,39.99,2011-09-20,Gears of War 3 es un videojuego de disparos en tercera persona desarrollado por Epic Games.,https://example.com/gearsofwar3.jpg,M,4.6
4,2,Gears of War 5,59.99,2019-09-10,Gears of War 5 es un videojuego de disparos en tercera persona desarrollado por The Coalition.,https://example.com/gearsofwar5.jpg,M,4.8
5,3,Unreal Tournament 2004,19.99,2004-03-16,Unreal Tournament 2004 es un videojuego de disparos en primera persona desarrollado por Epic Games.,https://example.com/unrealtournament2004.jpg,M,4.3
6,3,Unreal Tournament 3,24.99,2007-11-19,Unreal Tournament 3 es un videojuego de disparos en primera persona desarrollado por Epic Games.,https://example.com/unrealtournament3.jpg,M,4.1
7,3,Unreal Tournament (2019),29.99,2019-12-08,Unreal Tournament (2019) es un videojuego de disparos en primera persona desarrollado por Epic Games.,https://example.com/unrealtournament2019.jpg,M,4.5
8,4,Call of Duty,59.99,2003-10-29,Call of Duty es un videojuego de disparos en primera persona desarrollado por Infinity Ward.,https://example.com/calofduty.jpg,M,4.3
9,4,Call of Duty: Modern Warfare,59.99,2019-10-25,Call of Duty: Modern Warfare es un videojuego de disparos en primera persona desarrollado por Infinity Ward.,https://example.com/calofdutymw.jpg,M,4.7
10,4,Call of Duty: Black Ops,59.99,2010-11-09,Call of Duty: Black Ops es un videojuego de disparos en primera persona desarrollado por Treyarch.,https://example.com/calofdutybo.jpg,M,4.6
11,5,Crash Bandicoot,39.99,1996-09-09,Crash Bandicoot es un videojuego de plataformas desarrollado por Naughty Dog.,https://example.com/crashbandicoot.jpg,E,4.5
12,5,Crash Bandicoot 2: Cortex Strikes Back,39.99,1997-10-31,Crash Bandicoot 2: Cortex Strikes Back es un videojuego de plataformas desarrollado por Naughty Dog.,https://example.com/crashbandicoot2.jpg,E,4.6
13,5,Crash Bandicoot: Warped,39.99,1998-11-05,Crash Bandicoot: Warped es un videojuego de plataformas desarrollado por Naughty Dog.,https://example.com/crashbandicootwarped.jpg,E,4.8
14,6,Spyro the Dragon,49.99,1998-09-10,Spyro the Dragon es un videojuego de plataformas desarrollado por Insomniac Games.,https://example.com/spyrothedragon.jpg,E,4.4
15,6,Spyro 2: Ripto's Rage!,49.99,1999-11-02,Spyro 2: Ripto's Rage! es un videojuego de plataformas desarrollado por Insomniac Games.,https://example.com/spyro2.jpg,E,4.5
16,6,Spyro: Year of the Dragon,49.99,2000-10-24,Spyro: Year of the Dragon es un videojuego de plataformas desarrollado por Insomniac Games.,https://example.com/spyroyearofthedragon.jpg,E,4.7
17,7,Super Mario Bros.,49.99,1985-09-13,Super Mario Bros. es un videojuego de plataformas desarrollado y publicado por Nintendo.,https://example.com/supermariobros.jpg,E,4.7
18,7,Super Mario Bros. 3,49.99,1988-10-23,Super Mario Bros. 3 es un videojuego de plataformas desarrollado y publicado por Nintendo.,https://example.com/supermariobros3.jpg,E,4.9
19,7,Super Mario World,49.99,1990-11-21,Super Mario World es un videojuego de plataformas desarrollado y publicado por Nintendo.,https://example.com/supermarioworld.jpg,E,4.8
20,8,The Legend of Zelda,59.99,1986-02-21,The Legend of Zelda es un videojuego de acción-aventura desarrollado y publicado por Nintendo.,https://example.com/legendofzelda.jpg,E,4.6
21,8,The Legend of Zelda: Ocarina of Time,59.99,1998-11-21,The Legend of Zelda: Ocarina of Time es un videojuego de acción-aventura desarrollado y publicado por Nintendo.,https://example.com/legendofzeldaocarina.jpg,E,4.9
22,8,The Legend of Zelda: Breath of the Wild,59.99,2017-03-03,The Legend of Zelda: Breath of the Wild es un videojuego de acción-aventura desarrollado y publicado por Nintendo.,https://example.com/legendofzeldabreathofwild.jpg,E,4.9
23,9,Pokémon Red and Blue,39.99,1996-02-27,Pokémon Red and Blue son videojuegos de rol desarrollados por Game Freak y publicados por Nintendo.,https://example.com/pokemonredblue.jpg,E,4.5
24,9,Pokémon Gold and Silver,39.99,1999-11-21,Pokémon Gold and Silver son videojuegos de rol desarrollados por Game Freak y publicados por Nintendo.,https://example.com/pokemongoldsilver.jpg,E,4.7
25,9,Pokémon Ruby and Sapphire,39.99,2002-11-21,Pokémon Ruby and Sapphire son videojuegos de rol desarrollados por Game Freak y publicados por Nintendo.,https://example.com/pokemonrubyshapphire.jpg,E,4.8
26,10,Assassin's Creed,59.99,2007-11-13,Assassin's Creed es un videojuego de acción-aventura desarrollado por Ubisoft Montreal.,https://example.com/assassinscreed.jpg,M,4.6
27,10,Assassin's Creed II,59.99,2009-11-17,Assassin's Creed II es un videojuego de acción-aventura desarrollado por Ubisoft Montreal.,https://example.com/assassinscreed2.jpg,M,4.8
28,10,Assassin's Creed: Brotherhood,59.99,2010-11-16,Assassin's Creed: Brotherhood es un videojuego de acción-aventura desarrollado por Ubisoft Montreal.,https://example.com/assassinscreedbrotherhood.jpg,M,4.7
29,11,Far Cry,49.99,2004-03-23,Far Cry es un videojuego de disparos en primera persona desarrollado por Crytek.,https://example.com/farcry.jpg,M,4.5
30,11,Far Cry 2,49.99,2008-10-21,Far Cry 2 es un videojuego de disparos en primera persona desarrollado por Ubisoft Montreal.,https://example.com/farcry2.jpg,M,4.6
31,11,Far Cry 3,49.99,2012-12-04,Far Cry 3 es un videojuego de disparos en primera persona desarrollado por Ubisoft Montreal.,https://example.com/farcry3.jpg,M,4.8
32,12,Prince of Persia: The Sands of Time,39.99,2003-11-06,Prince of Persia: The Sands of Time es un videojuego de acción-aventura desarrollado por Ubisoft Montreal.,https://example.com/princeofpersiasands.jpg,T,4.4
33,12,Prince of Persia: Warrior Within,39.99,2004-12-02,Prince of Persia: Warrior Within es un videojuego de acción-aventura desarrollado por Ubisoft Montreal.,https://example.com/princeofpersiawithin.jpg,T,4.5
34,12,Prince of Persia: The Two Thrones,39.99,2005-12-01,Prince of Persia: The Two Thrones es un videojuego de acción-aventura desarrollado por Ubisoft Montreal.,https://example.com/princeofpersiathethronestwo.jpg,T,4.7
35,13,The Elder Scrolls V: Skyrim,59.99,2011-11-11,The Elder Scrolls V: Skyrim es un videojuego de rol desarrollado por Bethesda Game Studios.,https://example.com/skyrim.jpg,M,4.8
36,13,The Elder Scrolls IV: Oblivion,59.99,2006-03-20,The Elder Scrolls IV: Oblivion es un videojuego de rol desarrollado por Bethesda Game Studios.,https://example.com/oblivion.jpg,M,4.7
37,13,The Elder Scrolls III: Morrowind,59.99,2002-05-01,The Elder Scrolls III: Morrowind es un videojuego de rol desarrollado por Bethesda Game Studios.,https://example.com/morrowind.jpg,M,4.6
38,14,Fallout 4,39.99,2015-11-10,Fallout 4 es un videojuego de rol desarrollado por Bethesda Game Studios.,https://example.com/fallout4.jpg,M,4.5
39,14,Fallout: New Vegas,39.99,2010-10-19,Fallout: New Vegas es un videojuego de rol desarrollado por Obsidian Entertainment.,https://example.com/falloutnewvegas.jpg,M,4.6
40,14,Fallout 3,39.99,2008-10-28,Fallout 3 es un videojuego de rol desarrollado por Bethesda Game Studios.,https://example.com/fallout3.jpg,M,4.7
41,15,Doom,49.99,1993-12-10,Doom es un videojuego de disparos en primera persona desarrollado por id Software.,https://example.com/doom.jpg,M,4.4
42,15,Doom (2016),59.99,2016-05-13,Doom (2016) es un videojuego de disparos en primera persona desarrollado por id Software.,https://example.com/doom2016.jpg,M,4.8
43,15,Doom Eternal,59.99,2020-03-20,Doom Eternal es un videojuego de disparos en primera persona desarrollado por id Software.,https://example.com/doometernal.jpg,M,4.9
44,16,Sonic the Hedgehog,49.99,1991-06-23,Sonic the Hedgehog es un videojuego de plataformas desarrollado por Sonic Team.,https://example.com/sonichedgehog.jpg,E,4.5
45,16,Sonic the Hedgehog 2,49.99,1992-11-21,Sonic the Hedgehog 2 es un videojuego de plataformas desarrollado por Sonic Team.,https://example.com/sonichedgehog2.jpg,E,4.6
46,16,Sonic the Hedgehog 3,49.99,1994-02-02,Sonic the Hedgehog 3 es un videojuego de plataformas desarrollado por Sonic Team.,https://example.com/sonichedgehog3.jpg,E,4.7
47,17,Streets of Rage,39.99,1991-08-02,Streets of Rage es un videojuego de beat 'em up desarrollado por Sega.,https://example.com/streetsofrage.jpg,T,4.4
48,17,Streets of Rage 2,39.99,1992-12-20,Streets of Rage 2 es un videojuego de beat 'em up desarrollado por Sega.,https://example.com/streetsofrage2.jpg,T,4.6
49,17,Streets of Rage 3,39.99,1994-03-17,Streets of Rage 3 es un videojuego de beat 'em up desarrollado por Sega.,https://example.com/streetsofrage3.jpg,T,4.8
50,18,Phantasy Star,29.99,1987-12-20,Phantasy Star es un videojuego de rol desarrollado por Sega.,https://example.com/phantasystar.jpg,E,4.3
51,18,Phantasy Star II,29.99,1989-03-21,Phantasy Star II es un videojuego de rol desarrollado por Sega.,https://example.com/phantasystar2.jpg,E,4.5
52,18,Phantasy Star IV,29.99,1993-04-17,Phantasy Star IV es un videojuego de rol desarrollado por Sega.,https://example.com/phantasystar4.jpg,E,4.7
53,19,Resident Evil,59.99,1996-03-22,Resident Evil es un videojuego de survival horror desarrollado por Capcom.,https://example.com/residentevil.jpg,M,4.6
54,19,Resident Evil 2,59.99,1998-01-21,Resident Evil 2 es un videojuego de survival horror desarrollado por Capcom.,https://example.com/residentevil2.jpg,M,4.8
55,19,Resident Evil 3: Nemesis,59.99,1999-09-22,Resident Evil 3: Nemesis es un videojuego de survival horror desarrollado por Capcom.,https://example.com/residentevil3.jpg,M,4.7
56,20,Street Fighter II,39.99,1991-02-06,Street Fighter II es un videojuego de lucha desarrollado por Capcom.,https://example.com/streetfighterii.jpg,T,4.5
57,20,Street Fighter Alpha 3,39.99,1998-12-23,Street Fighter Alpha 3 es un videojuego de lucha desarrollado por Capcom.,https://example.com/streetfighteralpha3.jpg,T,4.6
58,20,Street Fighter IV,39.99,2008-07-18,Street Fighter IV es un videojuego de lucha desarrollado por Capcom.,https://example.com/streetfighteriv.jpg,T,4.7
59,21,Mega Man,29.99,1987-12-17,Mega Man es un videojuego de plataformas desarrollado por Capcom.,https://example.com/megaman.jpg,E,4.4
60,21,Mega Man 2,29.99,1988-12-24,Mega Man 2 es un videojuego de plataformas desarrollado por Capcom.,https://example.com/megaman2.jpg,E,4.6
61,21,Mega Man X,29.99,1993-12-17,Mega Man X es un videojuego de plataformas desarrollado por Capcom.,https://example.com/megamanx.jpg,E,4.8
62,22,Final Fantasy VII,49.99,1997-01-31,Final Fantasy VII es un videojuego de rol desarrollado por Square Enix.,https://example.com/finalfantasyvii.jpg,T,4.9
63,22,Final Fantasy X,49.99,2001-07-19,Final Fantasy X es un videojuego de rol desarrollado por Square Enix.,https://example.com/finalfantasyx.jpg,T,4.8
64,22,Final Fantasy XV,59.99,2016-11-29,Final Fantasy XV es un videojuego de rol desarrollado por Square Enix.,https://example.com/finalfantasyxv.jpg,T,4.7
65,23,Kingdom Hearts,59.99,2002-03-28,Kingdom Hearts es un videojuego de acción-aventura desarrollado por Square Enix.,https://example.com/kingdomhearts.jpg,E,4.6
66,23,Kingdom Hearts II,59.99,2005-12-22,Kingdom Hearts II es un videojuego de acción-aventura desarrollado por Square Enix.,https://example.com/kingdomheartsii.jpg,E,4.7
67,23,Kingdom Hearts III,69.99,2019-01-29,Kingdom Hearts III es un videojuego de acción-aventura desarrollado por Square Enix.,https://example.com/kingdomheartsiii.jpg,E,4.9
68,24,Nier,39.99,2010-04-22,Nier es un videojuego de rol desarrollado por Cavia.,https://example.com/nier.jpg,M,4.5
69,24,Nier: Automata,59.99,2017-02-23,Nier: Automata es un videojuego de rol desarrollado por PlatinumGames.,https://example.com/nierautomata.jpg,M,4.8
70,24,Nier Replicant ver.1.22474487139...,59.99,2021-04-22,Nier Replicant ver.1.22474487139... es un videojuego de rol desarrollado por Toylogic.,https://example.com/nierrepli.jpg,M,4.8
71,25,Left 4 Dead,29.99,2008-11-17,Left 4 Dead es un videojuego de disparos en primera persona desarrollado por Valve Corporation.,https://example.com/left4dead.jpg,M,4.7
72,25,Left 4 Dead 2,39.99,2009-11-17,Left 4 Dead 2 es un videojuego de disparos en primera persona desarrollado por Valve Corporation.,https://example.com/left4dead2.jpg,M,4.8
73,26,Portal,19.99,2007-10-10,Portal es un videojuego de rompecabezas en primera persona desarrollado por Valve Corporation.,https://example.com/portal.jpg,T,4.9
74,26,Portal 2,29.99,2011-04-18,Portal 2 es un videojuego de rompecabezas en primera persona desarrollado por Valve Corporation.,https://example.com/portal2.jpg,T,4.9
75,26,Portal: Still Alive,19.99,2008-10-22,Portal: Still Alive es una versión mejorada del juego Portal desarrollado por Valve Corporation.,https://example.com/portalstillalive.jpg,T,4.75
76,27,Half-Life,9.99,1998-11-19,Half-Life es un videojuego de disparos en primera persona desarrollado por Valve Corporation.,https://example.com/halflife.jpg,M,4.6
77,27,Half-Life 2,19.99,2004-11-16,Half-Life 2 es un videojuego de disparos en primera persona desarrollado por Valve Corporation.,https://example.com/halflife2.jpg,M,4.8
78,27,Half-Life: Alyx,39.99,2020-03-23,Half-Life: Alyx es un videojuego de realidad virtual desarrollado por Valve Corporation.,https://example.com/halflifealyx.jpg,M,4.8
79,28,Dragon Ball FighterZ,59.99,2018-01-26,Dragon Ball FighterZ es un videojuego de lucha desarrollado por Arc System Works.,https://example.com/dragonballfighterz.jpg,T,4.8
80,28,Dragon Ball Xenoverse,49.99,2015-02-24,Dragon Ball Xenoverse es un videojuego de acción desarrollado por Dimps.,https://example.com/dragonballxenoverse.jpg,T,4.7
81,28,Dragon Ball Z: Kakarot,69.99,2020-01-17,Dragon Ball Z: Kakarot es un videojuego de rol desarrollado por CyberConnect2.,https://example.com/dragonballzkakarot.jpg,T,4.6
82,29,Soulcalibur VI,59.99,2018-10-19,Soulcalibur VI es un videojuego de lucha desarrollado por Bandai Namco Entertainment.,https://example.com/soulcaliburvi.jpg,T,4.5
83,29,Soulcalibur V,39.99,2012-01-31,Soulcalibur V es un videojuego de lucha desarrollado por Bandai Namco Entertainment.,https://example.com/soulcaliburv.jpg,T,4.4
84,29,Soulcalibur IV,29.99,2008-07-29,Soulcalibur IV es un videojuego de lucha desarrollado por Bandai Namco Entertainment.,https://example.com/soulcaliburiv.jpg,T,4.3
85,30,Digimon Rumble Arena,19.99,2001-12-06,Digimon Rumble Arena es un videojuego de lucha desarrollado por Bandai Namco Entertainment.,https://example.com/digimonrumblearena.jpg,E,4.2
86,30,Digimon Rumble Arena 2,29.99,2004-09-23,Digimon Rumble Arena 2 es un videojuego de lucha desarrollado por Bandai Namco Entertainment.,https://example.com/digimonrumblearena2.jpg,E,4.1
87,30,Digimon World: Next Order,49.99,2016-03-12,Digimon World: Next Order es un videojuego de rol desarrollado por Bandai Namco Entertainment.,https://example.com/digimonworldnextorder.jpg,T,4.5
